trial,angle,same,letter,response,rt,correct
1,90,True,R,f,1.1641956999992544,True
2,150,True,Z,j,1.539073500000086,False
3,0,False,Q,j,1.2665440999990096,True
4,60,True,Q,f,1.1899164999995264,True
5,120,True,S,j,1.0127154999972845,False
6,60,False,S,j,1.946003599998221,True
7,120,False,G,j,1.3370345000002999,True
8,30,False,F,j,1.722628800001985,True
9,180,True,L,f,1.2522195000019565,True
10,60,False,G,j,1.0166380000009667,True
11,30,True,F,f,0.6699841000008746,True
12,90,True,Q,f,1.24045710000064,True
13,150,True,J,j,0.9253298000003269,False
14,60,False,Q,j,1.3185816000004706,True
15,90,False,S,j,2.5519954999981564,True
16,180,True,L,f,1.0477757999979076,True
17,30,True,J,f,0.9969280000004801,True
18,90,False,G,j,1.0819247999970685,True
19,180,False,K,f,0.7006417000011425,False
20,120,False,F,j,1.3354321000006166,True
21,180,False,L,j,1.4476725999993505,True
22,180,False,K,j,1.0190562999996473,True
23,30,False,L,j,0.8086551999986114,True
24,120,False,Z,j,2.503086100001383,True
25,60,True,L,f,0.7763301000013598,True
26,120,True,S,f,2.8006306999996013,True
27,120,True,Q,f,0.9980285999990883,True
28,150,False,G,j,3.50834820000091,True
29,0,True,K,f,1.1026295999981812,True
30,0,False,Q,j,0.8083885000014561,True
31,120,False,K,j,2.150810099999944,True
32,60,True,S,f,1.9018451000010828,True
33,0,False,L,j,1.0725629999978992,True
34,180,False,G,j,2.699732599998242,True
35,180,True,F,f,1.3899385999975493,True
36,90,True,J,j,1.0131312999983493,False
37,150,True,K,f,2.4738686999990023,True
38,60,False,K,j,2.5241632999968715,True
39,150,False,L,j,2.9660784999978205,True
40,30,False,G,j,1.862612299999455,True
41,0,True,F,f,0.9052233000002161,True
42,150,False,G,j,2.876153000001068,True
43,180,True,R,f,1.1906114000012167,True
44,0,True,L,f,0.533244599999307,True
45,150,True,Q,f,3.022060200000851,True
46,150,False,R,j,1.8516291000014462,True
47,90,False,Q,j,1.2149691000013263,True
48,0,True,G,f,0.6930027000016707,True
49,90,True,Z,f,2.0641450000002806,True
50,60,True,K,f,1.8342459999985294,True
51,120,True,Z,f,1.5996860999985074,True
52,30,True,K,f,1.1248493000020972,True
53,0,False,F,j,0.7747338999979547,True
54,30,False,Q,j,1.0534678000003623,True
55,30,True,S,f,1.0417500999974436,True
56,90,False,R,j,1.4628766999994696,True
